name,overallRank,genderRank,count,gender
Robert,1,1,61842,M
James,2,2,56562,M
John,4,3,48753,M
William,5,4,40724,M
Richard,7,5,32975,M
Charles,8,6,30521,M
Donald,9,7,27869,M
David,13,8,20980,M
Thomas,14,9,19771,M
George,15,10,18439,M
Ronald,16,11,18140,M
Joseph,18,12,17323,M
Edward,23,13,14930,M
Kenneth,24,14,13218,M
Paul,25,15,12880,M
Larry,28,16,10320,M
Jerry,29,17,10302,M
Frank,30,18,10126,M
Raymond,34,19,9571,M
Gerald,36,20,9424,M
Harold,43,21,8551,M
Billy,45,22,8298,M
Jack,46,23,8196,M
Bobby,49,24,7745,M
Joe,50,25,7744,M
Walter,52,26,7486,M
Michael,55,27,7094,M
Carl,57,28,6914,M
Gary,58,29,6763,M
Henry,60,30,6668,M
Arthur,63,31,6321,M
Willie,65,32,6231,M
Eugene,68,33,6000,M
Ralph,69,34,5922,M
Fred,71,35,5738,M
Roger,72,36,5712,M
Albert,73,37,5664,M
Lawrence,75,38,5505,M
Daniel,78,39,5123,M
Roy,80,40,4888,M
Harry,81,41,4814,M
Howard,84,42,4700,M
Norman,85,43,4673,M
Wayne,87,44,4613,M
Jimmy,90,45,4517,M
Louis,96,46,4355,M
Anthony,97,47,4339,M
Earl,105,48,3942,M
Marvin,108,49,3912,M
Melvin,109,50,3890,M
Don,110,51,3814,M
Peter,111,52,3809,M
Ernest,113,53,3759,M
Clarence,114,54,3756,M
Francis,116,55,3730,M
Leroy,122,56,3555,M
Stanley,125,57,3484,M
Leonard,126,58,3480,M
Dale,130,59,3340,M
Alfred,134,60,3181,M
Gene,138,61,3165,M
Philip,139,62,3162,M
Dennis,140,63,3160,M
Bill,141,64,3119,M
Herbert,143,65,3040,M
Samuel,144,66,3027,M
Russell,151,67,2895,M
Frederick,153,68,2878,M
Johnny,155,69,2826,M
Bruce,157,70,2809,M
Ray,163,71,2725,M
Jimmie,167,72,2679,M
Bernard,168,73,2671,M
Douglas,173,74,2610,M
Gordon,175,75,2533,M
Allen,176,76,2518,M
Franklin,177,77,2514,M
