name,overallRank,genderRank,count,gender
Mary,1,1,13447,F
John,2,1,8320,M
William,3,2,7277,M
Anna,4,2,5950,F
James,5,3,5335,M
George,6,4,4289,M
Helen,7,3,4023,F
Margaret,8,4,3931,F
Charles,9,5,3633,M
Elizabeth,10,5,3603,F
Ruth,11,6,3551,F
Florence,12,7,3471,F
Ethel,13,8,3391,F
Frank,14,6,3012,M
Marie,15,9,3011,F
Joseph,16,7,2992,M
Emma,17,10,2952,F
Robert,18,8,2635,M
Bertha,19,11,2626,F
Clara,20,12,2613,F
Minnie,21,13,2567,F
Edna,22,14,2560,F
Bessie,23,15,2542,F
Lillian,24,16,2495,F
Alice,25,17,2457,F
Grace,26,18,2448,F
Annie,27,19,2390,F
Mabel,28,20,2359,F
Rose,29,21,2262,F
Hazel,30,22,2252,F
Henry,31,9,2221,M
Edward,32,10,2203,M
Ida,33,23,2170,F
Thomas,34,11,2153,M
Gertrude,35,24,2129,F
Harry,36,12,2128,M
Martha,37,25,2096,F
Walter,38,13,2015,M
Pearl,39,26,1958,F
Edith,40,27,1940,F
Myrtle,41,28,1938,F
Frances,42,29,1833,F
Nellie,43,30,1833,F
Esther,44,31,1803,F
Elsie,45,32,1795,F
Sarah,46,33,1777,F
Eva,47,34,1767,F
Ella,48,35,1692,F
Arthur,49,14,1666,M
Laura,50,36,1643,F
Louise,51,37,1582,F
Catherine,52,38,1514,F
Fred,53,15,1483,M
Mildred,54,39,1474,F
Agnes,55,40,1466,F
Gladys,56,41,1464,F
Carrie,57,42,1463,F
Irene,58,43,1428,F
Lillie,59,44,1414,F
Albert,60,16,1391,M
Julia,61,45,1380,F
Hattie,62,46,1338,F
Josephine,63,47,1334,F
Clarence,64,17,1326,M
Jessie,65,48,1300,F
Cora,66,49,1295,F
Lena,67,50,1289,F
Mattie,68,51,1276,F
Mae,69,52,1193,F
Jennie,70,53,1177,F
Blanche,71,54,1156,F
Alma,72,55,1144,F
Maude,73,56,1136,F
Dorothy,74,57,1127,F
Ada,75,58,1124,F
Mamie,76,59,1119,F
Willie,77,18,1071,M
Roy,78,19,1028,M
Stella,79,60,1026,F
Lucy,80,61,1016,F
Fannie,81,62,1012,F
Viola,82,63,1010,F
Lula,83,64,987,F
Katherine,84,65,968,F
Ruby,85,66,954,F
Paul,86,20,933,M
Louis,87,21,913,M
Maggie,88,67,890,F
Dora,89,68,884,F
Marion,90,69,856,F
Carl,91,22,851,M
Earl,92,23,851,M
Nora,93,70,846,F
Ernest,94,24,834,M
Rosa,95,71,832,F
Sadie,96,72,829,F
Beatrice,97,73,814,F
Samuel,98,25,814,M
Raymond,99,26,806,M
Charlie,100,27,767,M
Joe,101,28,763,M
Beulah,102,74,760,F
Harold,103,29,753,M
Ellen,104,75,746,F
Ralph,105,30,736,M
Pauline,106,76,734,F
Vera,107,77,729,F
Richard,108,31,727,M
Willie,109,78,724,F
Effie,110,79,708,F
David,111,32,707,M
May,112,80,691,F
Marguerite,113,81,680,F
Nettie,114,82,677,F
Susie,115,83,674,F
Daisy,116,84,665,F
Lydia,117,85,656,F
Della,118,86,648,F
Howard,119,33,641,M
Evelyn,120,87,630,F
Virginia,121,88,628,F
Elmer,122,34,610,M
Emily,123,89,605,F
Kathryn,124,90,585,F
Olive,125,91,577,F
Jesse,126,35,577,M
Sallie,127,92,573,F
Herbert,128,36,569,M
Nancy,129,93,566,F
Georgia,130,94,562,F
Andrew,131,37,562,M
Lottie,132,95,553,F
Flora,133,96,552,F
Ann,134,97,551,F
Alfred,135,38,551,M
Oscar,136,39,549,M
Eleanor,137,98,544,F
Lizzie,138,99,543,F
Katie,139,100,536,F
Lucille,140,101,532,F
Leona,141,102,520,F
Daniel,142,40,516,M
Theresa,143,103,515,F
Hilda,144,104,513,F
Lawrence,145,41,509,M
Leo,146,42,509,M
Sam,147,43,487,M
Will,148,44,485,M
Caroline,149,105,484,F
Francis,150,45,480,M
Jack,151,46,479,M
Lee,152,47,478,M
Charlotte,153,106,472,F
Addie,154,107,471,F
Anne,155,108,462,F
Benjamin,156,48,452,M
Bernice,157,109,447,F
Lola,158,110,446,F
Ollie,159,111,446,F
Etta,160,112,445,F
Herman,161,49,439,M
Harriet,162,113,435,F
Iva,163,114,435,F
Amanda,164,115,431,F
Eugene,165,50,430,M
Floyd,166,51,427,M
Henrietta,167,116,420,F
Ora,168,117,416,F
Michael,169,52,413,M
Peter,170,53,412,M
Frederick,171,54,406,M
Inez,172,118,403,F
Jane,173,119,394,F
Susan,174,120,393,F
Claude,175,55,389,M
Lela,176,121,388,F
Rebecca,177,122,386,F
Mollie,178,123,382,F
Estelle,179,124,381,F
Ray,180,56,380,M
Amelia,181,125,379,F
Chester,182,57,377,M
Lewis,183,58,377,M
Clyde,184,59,370,M
Loretta,185,126,365,F
Sara,186,127,363,F
Goldie,187,128,358,F
Nannie,188,129,355,F
Rachel,189,130,351,F
Betty,190,131,350,F
Marjorie,191,132,349,F
Nina,192,133,348,F
Edwin,193,60,346,M
Eula,194,134,342,F
Leonard,195,61,342,M
Matilda,196,135,339,F
Essie,197,136,335,F
Tom,198,62,335,M
Eunice,199,137,334,F
Mable,200,138,331,F
Olga,201,139,329,F
Verna,202,140,326,F
Ben,203,63,324,M
Edgar,204,64,323,M
Rosie,205,141,322,F
Martin,206,65,317,M
Violet,207,142,316,F
Genevieve,208,143,313,F
Lois,209,144,311,F
Maud,210,145,305,F
Estella,211,146,304,F
Amy,212,147,303,F
Hannah,213,148,301,F
Russell,214,66,300,M
Frieda,215,149,299,F
Barbara,216,150,298,F
Homer,217,67,296,M
Christine,218,151,295,F
Flossie,219,152,295,F
Maria,220,153,295,F
Lester,221,68,295,M
Augusta,222,154,288,F
Belle,223,155,283,F
Otto,224,69,283,M
Harvey,225,70,282,M
Jim,226,71,278,M
Alta,227,156,277,F
Sylvia,228,157,276,F
Celia,229,158,273,F
Eliza,230,159,273,F
Clifford,231,72,272,M
Victoria,232,160,269,F
Luther,233,73,269,M
Jacob,234,74,266,M
Marian,235,161,265,F
Lloyd,236,75,263,M
Kate,237,162,262,F
Ola,238,163,261,F
Guy,239,76,261,M
Sophia,240,164,259,F
Bernard,241,77,259,M
Lulu,242,165,258,F
Allie,243,166,252,F
Freda,244,167,250,F
Naomi,245,168,249,F
Leroy,246,78,249,M
Lucile,247,169,248,F
Irma,248,170,247,F
Nell,249,171,247,F
Jessie,250,79,245,M
Hugh,251,80,243,M
Alberta,252,172,242,F
Sophie,253,173,240,F
Madeline,254,174,237,F
Leslie,255,81,235,M
Josie,256,175,234,F
Winifred,257,176,234,F
Patrick,258,82,233,M
Stanley,259,83,233,M
Jean,260,177,232,F
Ed,261,84,229,M
Eddie,262,85,228,M
Luella,263,178,227,F
Anthony,264,86,221,M
Ina,265,179,220,F
Janie,266,180,220,F
Norma,267,181,219,F
Leon,268,87,219,M
Elva,269,182,218,F
Vivian,270,183,216,F
Oliver,271,88,216,M
Isabel,272,184,212,F
Tillie,273,185,212,F
Archie,274,89,212,M
Callie,275,186,211,F
Horace,276,90,211,M
Norman,277,91,211,M
Philip,278,92,211,M
Mayme,279,187,209,F
Selma,280,188,208,F
Velma,281,189,208,F
Theodore,282,93,208,M
Everett,283,94,207,M
Ira,284,95,207,M
Isabelle,285,190,205,F
Erma,286,191,203,F
Leah,287,192,203,F
Donald,288,96,203,M
Alexander,289,97,199,M
Doris,290,193,198,F
Winnie,291,194,196,F
Allen,292,98,196,M
Victor,293,99,196,M
Delia,294,195,193,F
Kathleen,295,196,192,F
Cecil,296,100,192,M
Virgie,297,197,191,F
August,298,101,190,M
Rena,299,198,189,F
Milton,300,102,188,M
Birdie,301,199,184,F
Fern,302,200,184,F
Millie,303,201,181,F
Adeline,304,202,180,F
Geneva,305,203,180,F
Alvin,306,103,179,M
Stephen,307,104,179,M
Charley,308,105,178,M
Sidney,309,106,178,M
Lila,310,204,175,F
Thelma,311,205,173,F
Isaac,312,107,172,M
Miriam,313,206,169,F
Hulda,314,207,167,F
Jeanette,315,208,167,F
Teresa,316,209,167,F
Adele,317,210,166,F
Lora,318,211,166,F
Julius,319,108,165,M
Hester,320,212,164,F
Percy,321,109,164,M
Cecelia,322,213,163,F
Sally,323,214,162,F
Elsa,324,215,160,F
Warren,325,110,160,M
Opal,326,216,158,F
Melvin,327,111,158,M
Dollie,328,217,157,F
Lelia,329,218,157,F
Sue,330,219,157,F
Wesley,331,112,156,M
Bertie,332,220,154,F
Juanita,333,221,154,F
Veronica,334,222,153,F
Johanna,335,223,151,F
Bess,336,224,150,F
Gussie,337,225,150,F
Jeannette,338,226,150,F
Glenn,339,113,150,M
Bert,340,114,149,M
Carolyn,341,227,148,F
Marion,342,115,148,M
Leila,343,228,147,F
Virgil,344,116,146,M
Katharine,345,229,145,F
Alex,346,117,143,M
Earnest,347,118,143,M
Adelaide,348,230,142,F
Roxie,349,231,141,F
Mack,350,119,140,M
Dave,351,120,139,M
Cecilia,352,232,138,F
Regina,353,233,138,F
Emmett,354,121,138,M
Elma,355,234,137,F
Zella,356,235,137,F
Gertie,357,236,136,F
Rhoda,358,237,136,F
Emil,359,122,136,M
Maurice,360,123,136,M
Leola,361,238,135,F
Rufus,362,124,135,M
Willis,363,125,135,M
Vincent,364,126,134,M
Bettie,365,239,133,F
Lessie,366,240,133,F
Otis,367,127,133,M
Gilbert,368,128,132,M
Vernon,369,129,131,M
Hallie,370,241,130,F
Roberta,371,242,130,F
Calvin,372,130,130,M
Bonnie,373,243,129,F
Cornelia,374,244,127,F
Harriett,375,245,127,F
Mathilda,376,246,127,F
Myra,377,247,127,F
Kenneth,378,131,127,M
Anita,379,248,126,F
Christina,380,249,126,F
Francis,381,250,126,F
Madge,382,251,126,F
Cleo,383,252,125,F
Lou,384,253,125,F
Morris,385,132,125,M
Wilbur,386,133,125,M
Hettie,387,254,124,F
Meta,388,255,122,F
Neva,389,256,122,F
Fay,390,257,121,F
Maudie,391,258,120,F
Johnnie,392,134,120,M
Lonnie,393,135,120,M
Nathan,394,136,119,M
Wallace,395,137,119,M
Claire,396,259,118,F
Faye,397,260,118,F
Letha,398,261,117,F
Olivia,399,262,117,F
Willard,400,138,113,M
Louisa,401,263,112,F
Nelle,402,264,112,F
Matthew,403,139,112,M
Lorena,404,265,111,F
Nola,405,266,111,F
Irving,406,140,110,M
Cecile,407,267,109,F
Pearlie,408,268,109,F
Felix,409,141,109,M
Corinne,410,269,108,F
Gracie,411,270,108,F
Lilly,412,271,108,F
Muriel,413,272,108,F
Dennis,414,142,108,M
Nelson,415,143,108,M
Helena,416,273,107,F
Lettie,417,274,107,F
Marvin,418,144,107,M
Elbert,419,145,106,M
Hubert,420,146,106,M
Rudolph,421,147,106,M
Rita,422,275,105,F
Gordon,423,148,104,M
Jose,424,149,104,M
Erna,425,276,103,F
Johnnie,426,277,103,F
Lenora,427,278,103,F
Franklin,428,150,103,M
Audrey,429,279,102,F
Glen,430,151,102,M
Jerry,431,152,102,M
Jess,432,153,102,M
Mark,433,154,102,M
Reuben,434,155,102,M
Lily,435,280,101,F
Ellis,436,156,100,M
Marshall,437,157,100,M
Wilma,438,281,99,F
Sylvester,439,158,99,M
Dessie,440,282,98,F
Lee,441,283,98,F
Lucinda,442,284,98,F
Margie,443,285,98,F
Manuel,444,159,98,M
Ila,445,286,97,F
Wilhelmina,446,287,97,F
Perry,447,160,97,M
Roland,448,161,97,M
Antoinette,449,288,96,F
Claudia,450,289,96,F
Linda,451,290,96,F
Linnie,452,291,96,F
Vesta,453,292,96,F
Amos,454,162,96,M
Arnold,455,163,96,M
Dan,456,164,96,M
Cecil,457,293,95,F
Max,458,165,95,M
Elnora,459,294,94,F
Elvira,460,295,94,F
Fanny,461,296,94,F
Mina,462,297,94,F
Aaron,463,166,94,M
Abraham,464,167,94,M
Alvina,465,298,93,F
Dovie,466,299,93,F
Lura,467,300,93,F
Grover,468,168,93,M
