name,overallRank,genderRank,count,gender
Robert,2,1,61130,M
John,3,2,56108,M
James,4,3,53197,M
William,5,4,51922,M
Charles,8,5,29521,M
George,10,6,25909,M
Richard,11,7,25143,M
Joseph,12,8,23756,M
Donald,14,9,20912,M
Edward,16,10,19375,M
Thomas,17,11,16592,M
Frank,20,12,14493,M
Paul,21,13,13653,M
Harold,24,14,13311,M
Raymond,26,15,12809,M
Jack,27,16,12195,M
Walter,30,17,11774,M
Kenneth,36,18,10342,M
Henry,37,19,9994,M
Arthur,39,20,9465,M
Albert,42,21,9146,M
David,43,22,9041,M
Eugene,44,23,9016,M
Ralph,49,24,8455,M
Harry,50,25,8215,M
Carl,58,26,6939,M
Howard,61,27,6836,M
Willie,62,28,6820,M
Clarence,65,29,6537,M
Louis,66,30,6513,M
Fred,67,31,6447,M
Earl,68,32,6441,M
Joe,72,33,6338,M
Roy,73,34,6224,M
Francis,76,35,5789,M
Lawrence,80,36,5582,M
Ernest,82,37,5436,M
Leonard,84,38,5402,M
Norman,87,39,5282,M
Billy,89,40,5180,M
Gerald,90,41,5123,M
Anthony,91,42,5058,M
Stanley,95,43,4966,M
Herbert,96,44,4939,M
Alfred,100,45,4726,M
Daniel,104,46,4516,M
Melvin,112,47,4194,M
Samuel,113,48,4179,M
Bernard,114,49,4172,M
Marvin,116,50,4111,M
Leroy,124,51,3808,M
Russell,125,52,3793,M
Floyd,128,53,3623,M
Leo,130,54,3552,M
Edwin,134,55,3491,M
Michael,135,56,3485,M
Ray,137,57,3409,M
Peter,139,58,3359,M
Andrew,140,59,3344,M
Lloyd,142,60,3278,M
Elmer,144,61,3233,M
Clifford,145,62,3190,M
Theodore,148,63,3129,M
Frederick,149,64,3120,M
Calvin,154,65,3014,M
Vernon,157,66,2953,M
Clyde,164,67,2873,M
Wayne,167,68,2812,M
Herman,168,69,2798,M
Philip,173,70,2708,M
Warren,174,71,2701,M
Alvin,175,72,2693,M
Leon,176,73,2647,M
Bill,177,74,2643,M
Glenn,178,75,2635,M
Gordon,179,76,2629,M
Vincent,183,77,2543,M
Lester,184,78,2539,M
Chester,185,79,2534,M
Martin,189,80,2493,M
Charlie,192,81,2446,M
Lewis,193,82,2444,M
Milton,196,83,2418,M
Dale,198,84,2398,M
Lee,202,85,2313,M
Cecil,203,86,2305,M
Jesse,204,87,2298,M
Ronald,205,88,2283,M
Roger,207,89,2260,M
Harvey,213,90,2128,M
Gene,217,91,2083,M
Sam,219,92,2033,M
Allen,224,93,2021,M
Victor,225,94,2016,M
Wallace,227,95,2012,M
Don,229,96,1966,M
Jerry,231,97,1934,M
Benjamin,232,98,1898,M
Arnold,233,99,1882,M
Willard,239,100,1810,M
Gilbert,240,101,1781,M
Bob,241,102,1778,M
Douglas,242,103,1778,M
Johnnie,245,104,1731,M
Oscar,247,105,1715,M
Claude,248,106,1714,M
Roland,249,107,1702,M
Eddie,252,108,1678,M
Edgar,253,109,1677,M
Maurice,258,110,1640,M
Rudolph,259,111,1636,M
Curtis,261,112,1626,M
Marion,262,113,1626,M
Jerome,264,114,1612,M
Jimmie,265,115,1609,M
Bobby,267,116,1595,M
Junior,268,117,1590,M
Virgil,270,118,1576,M
Everett,272,119,1569,M
Manuel,274,120,1549,M
Glen,275,121,1519,M
Wilbur,277,122,1510,M
Homer,278,123,1503,M
Jessie,281,124,1481,M
Jose,283,125,1474,M
Leslie,285,126,1467,M
Bruce,289,127,1413,M
Hugh,291,128,1393,M
Sidney,297,129,1350,M
Stephen,298,130,1335,M
Hubert,300,131,1320,M
Wesley,301,132,1320,M
Nicholas,302,133,1319,M
Morris,303,134,1306,M
Luther,305,135,1295,M
Johnny,306,136,1289,M
Max,308,137,1254,M
Tom,310,138,1252,M
Dean,311,139,1245,M
Willis,312,140,1233,M
Patrick,314,141,1219,M
Franklin,318,142,1202,M
Jim,322,143,1165,M
Irving,325,144,1159,M
Billie,328,145,1155,M
Alexander,330,146,1150,M
Earnest,331,147,1149,M
Keith,333,148,1120,M
Horace,337,149,1107,M
Oliver,342,150,1065,M
Steve,343,151,1052,M
Lyle,344,152,1051,M
Julius,346,153,1032,M
Phillip,348,154,1020,M
Ben,350,155,1013,M
Edmund,351,156,1012,M
Tony,352,157,1011,M
Salvatore,355,158,995,M
Guy,356,159,994,M
Duane,360,160,963,M
Clayton,363,161,956,M
Archie,369,162,920,M
Delbert,371,163,916,M
Orville,373,164,894,M
Clifton,375,165,884,M
Jimmy,377,166,882,M
Dan,378,167,880,M
Otis,379,168,878,M
Bennie,383,169,865,M
Mike,385,170,857,M
Clinton,388,171,843,M
Angelo,389,172,840,M
Dennis,392,173,838,M
Alan,393,174,836,M
Jay,396,175,827,M
Nathaniel,397,176,821,M
Jacob,400,177,810,M
Larry,401,178,807,M
Alex,403,179,805,M
Merle,405,180,787,M
Ira,406,181,785,M
Allan,410,182,780,M
Alton,413,183,778,M
Wilbert,414,184,778,M
Matthew,415,185,777,M
Leland,416,186,776,M
Ervin,418,187,768,M
Dewey,420,188,767,M
Ivan,421,189,766,M
Marshall,422,190,765,M
Ted,423,191,764,M
Tommy,426,192,751,M
Carroll,432,193,738,M
Antonio,434,194,729,M
Lowell,435,195,725,M
Elbert,442,196,717,M
Jesus,443,197,713,M
Freddie,445,198,708,M
Julian,446,199,703,M
Mark,447,200,702,M
Sylvester,451,201,687,M
Nelson,453,202,685,M
Emil,455,203,682,M
Forrest,456,204,680,M
Irvin,458,205,675,M
Nathan,461,206,669,M
Lonnie,463,207,660,M
Seymour,464,208,660,M
Dick,469,209,650,M
Juan,471,210,648,M
Eldon,472,211,647,M
Pete,475,212,643,M
Nick,476,213,642,M
Rufus,477,214,641,M
Wilfred,478,215,641,M
Wendell,479,216,640,M
Malcolm,483,217,629,M
Fredrick,484,218,626,M
Loyd,485,219,623,M
Ramon,488,220,615,M
Laurence,491,221,610,M
Myron,492,222,609,M
Loren,493,223,608,M
Ellis,495,224,607,M
Neil,499,225,600,M
Karl,501,226,595,M
Aaron,502,227,593,M
Gerard,503,228,586,M
Isaac,504,229,586,M
Norbert,506,230,581,M
Darrell,507,231,578,M
Johnie,508,232,578,M
Grady,510,233,576,M
Murray,513,234,568,M
Perry,514,235,565,M
Felix,515,236,559,M
Burton,516,237,558,M
Owen,518,238,554,M
Rex,519,239,552,M
Elwood,525,240,542,M
Emmett,527,241,539,M
Mack,530,242,535,M
Byron,532,243,533,M
Ross,535,244,530,M
Grover,536,245,529,M
Troy,540,246,522,M
Bert,541,247,519,M
Mario,542,248,518,M
Aubrey,547,249,498,M
Carlos,549,250,496,M
Doyle,550,251,495,M
Percy,553,252,493,M
Harley,554,253,492,M
Otto,555,254,488,M
Carlton,559,255,483,M
Rodney,560,256,482,M
Reginald,562,257,475,M
Sherman,563,258,473,M
Roosevelt,564,259,472,M
Dwight,565,260,468,M
Dominick,570,261,465,M
Tommie,571,262,464,M
Wilson,572,263,464,M
Dominic,574,264,463,M
Irwin,575,265,463,M
Erwin,576,266,462,M
August,579,267,458,M
Amos,580,268,454,M
Morton,585,269,443,M
Ruben,586,270,440,M
Bobbie,589,271,437,M
Francisco,591,272,435,M
Boyd,592,273,432,M
Austin,593,274,430,M
Abraham,595,275,427,M
Dallas,597,276,426,M
Adam,599,277,425,M
Louie,600,278,424,M
Neal,603,279,417,M
Preston,604,280,416,M
Garland,606,281,412,M
Harlan,609,282,407,M
Roscoe,612,283,405,M
Pedro,613,284,404,M
Adolph,614,285,403,M
Benny,615,286,399,M
Laverne,616,287,399,M
Charley,617,288,398,M
Conrad,620,289,396,M
Jasper,624,290,389,M
Joel,634,291,379,M
Edmond,636,292,376,M
Millard,638,293,375,M
Cornelius,640,294,370,M
Lynn,641,295,370,M
Merlin,646,296,368,M
Stuart,647,297,368,M
Reuben,648,298,367,M
Rudy,649,299,366,M
Jackie,650,300,361,M
Dave,655,301,353,M
Elvin,656,302,352,M
Sheldon,657,303,351,M
Steven,664,304,348,M
Mitchell,667,305,344,M
Wade,669,306,343,M
Moses,671,307,341,M
Clair,676,308,337,M
Maynard,677,309,336,M
Grant,680,310,333,M
Will,681,311,333,M
Russel,686,312,329,M
Alfonso,690,313,326,M
Cleveland,691,314,326,M
Elton,694,315,324,M
Carmen,696,316,322,M
Monroe,698,317,320,M
Wilburn,701,318,317,M
Luis,703,319,315,M
Ollie,704,320,315,M
Delmar,706,321,314,M
Kermit,709,322,313,M
Wilmer,710,323,312,M
Teddy,714,324,311,M
Marcus,716,325,310,M
Weldon,717,326,310,M
Rocco,719,327,307,M
Raul,722,328,306,M
Thurman,723,329,306,M
Woodrow,724,330,306,M
Merrill,725,331,305,M
Vito,726,332,304,M
Emanuel,729,333,302,M
Harrison,730,334,302,M
Alonzo,732,335,298,M
Jean,733,336,298,M
Pat,735,337,297,M
Gus,738,338,294,M
Lionel,739,339,294,M
Ned,742,340,293,M
Ed,745,341,287,M
Simon,746,342,286,M
Randolph,749,343,281,M
Sammie,750,344,281,M
Adrian,752,345,280,M
Cleo,753,346,280,M
Clement,755,347,278,M
Elijah,756,348,276,M
Wilford,757,349,276,M
Hollis,759,350,275,M
Timothy,761,351,274,M
Mary,764,352,272,M
Christopher,769,353,270,M
Sanford,770,354,270,M
Salvador,772,355,268,M
Stewart,773,356,267,M
Eli,775,357,266,M
Jake,776,358,266,M
Buford,780,359,264,M
Clark,781,360,264,M
Coy,782,361,264,M
Cyril,783,362,264,M
Patsy,788,363,263,M
Alva,792,364,259,M
Wiley,793,365,258,M
Claud,800,366,254,M
Odell,801,367,252,M
Levi,802,368,251,M
Roberto,804,369,250,M
Armand,806,370,247,M
Sterling,808,371,246,M
Andy,809,372,245,M
Lavern,810,373,245,M
Elmo,813,374,243,M
Gregory,814,375,243,M
Royce,815,376,243,M
Miles,816,377,242,M
Jess,819,378,239,M
Dudley,820,379,237,M
Earle,821,380,237,M
Marlin,822,381,237,M
Forest,823,382,235,M
Noah,824,383,235,M
Thaddeus,826,384,234,M
Basil,828,385,232,M
Jackson,830,386,231,M
Lorenzo,832,387,230,M
Norris,833,388,230,M
Orval,834,389,230,M
Randall,835,390,230,M
Winston,836,391,230,M
Mervin,839,392,228,M
Buddy,843,393,226,M
Rolland,844,394,226,M
Emory,854,395,224,M
Danny,856,396,223,M
Emery,857,397,223,M
Roman,858,398,223,M
Alphonse,866,399,221,M
Lamar,867,400,221,M
Truman,868,401,221,M
Vern,869,402,221,M
Van,871,403,220,M
Ward,872,404,220,M
Guadalupe,873,405,218,M
Travis,875,406,217,M
Darrel,879,407,215,M
Hershel,880,408,215,M
Barney,883,409,214,M
Eric,884,410,214,M
Pasquale,885,411,214,M
Shirley,886,412,214,M
Solomon,887,413,214,M
Harris,888,414,213,M
Alfredo,891,415,212,M
Milford,892,416,212,M
Silas,895,417,211,M
Bruno,897,418,209,M
Elliott,898,419,209,M
Herschel,899,420,208,M
Elias,903,421,207,M
Noel,909,422,205,M
Freeman,911,423,204,M
Armando,914,424,203,M
Winfred,915,425,203,M
Darwin,917,426,202,M
Gabriel,918,427,202,M
Sammy,919,428,202,M
Cletus,922,429,200,M
Pablo,923,430,200,M
Rene,926,431,198,M
Carmine,928,432,197,M
Ellsworth,929,433,197,M
Miguel,934,434,195,M
Hiram,938,435,194,M
Anton,941,436,192,M
Gale,942,437,192,M
Normand,943,438,191,M
Gail,947,439,189,M
Saul,948,440,189,M
Bud,952,441,187,M
Emerson,953,442,187,M
Everette,954,443,187,M
Delmer,956,444,186,M
Lenard,957,445,186,M
Lyman,959,446,185,M
Odis,960,447,185,M
Scott,961,448,185,M
Hal,962,449,184,M
Alden,966,450,183,M
Rodolfo,970,451,182,M
Royal,973,452,181,M
Riley,977,453,179,M
Spencer,981,454,176,M
Linwood,984,455,175,M
Bertram,988,456,174,M
Edsel,989,457,174,M
Roderick,990,458,174,M
Ulysses,991,459,173,M
Vance,995,460,171,M
Carol,997,461,170,M
Frederic,999,462,169,M
Chris,1001,463,168,M
Nolan,1002,464,168,M
Foster,1008,465,167,M
Mathew,1009,466,167,M
Rafael,1013,467,166,M
Sol,1014,468,166,M
Omer,1015,469,165,M
Terry,1016,470,165,M
Booker,1024,471,164,M
Luke,1033,472,162,M
Denver,1037,473,161,M
Ferdinand,1038,474,161,M
Wilton,1039,475,161,M
Enrique,1043,476,159,M
Hugo,1044,477,159,M
Jeff,1045,478,159,M
Alberto,1047,479,158,M
Frankie,1049,480,157,M
Houston,1052,481,156,M
Ambrose,1054,482,155,M
Phil,1055,483,155,M
Augustine,1059,484,154,M
Hoyt,1060,485,154,M
Morgan,1061,486,154,M
Burl,1064,487,152,M
Olen,1065,488,152,M
Felipe,1068,489,151,M
Noble,1070,490,150,M
Jewel,1072,491,149,M
Orlando,1073,492,149,M
Tomas,1074,493,149,M
Buster,1077,494,148,M
Columbus,1078,495,148,M
Al,1081,496,147,M
Fletcher,1082,497,147,M
Major,1083,498,147,M
Arturo,1087,499,146,M
Blaine,1088,500,146,M
Hector,1089,501,146,M
Dalton,1093,502,145,M
Elwin,1094,503,145,M
Raymon,1095,504,145,M
Verne,1096,505,145,M
Lincoln,1098,506,144,M
Newton,1099,507,144,M
Reed,1100,508,144,M
Anderson,1105,509,143,M
Jefferson,1106,510,142,M
Lucien,1107,511,142,M
Bryan,1113,512,139,M
Carlo,1114,513,139,M
Ezra,1115,514,139,M
Wilber,1116,515,139,M
Elroy,1122,516,138,M
Ernesto,1123,517,138,M
Augustus,1126,518,137,M
Fernando,1129,519,136,M
Abe,1131,520,135,M
Harmon,1138,521,134,M
Joesph,1139,522,134,M
Ignacio,1143,523,133,M
Julio,1144,524,133,M
Arlie,1148,525,132,M
Nickolas,1149,526,132,M
Waldo,1150,527,132,M
Clay,1154,528,131,M
Emile,1155,529,131,M
Gaylord,1156,530,131,M
Milo,1157,531,131,M
Sebastian,1158,532,131,M
Angel,1163,533,130,M
Coleman,1164,534,130,M
Emilio,1165,535,130,M
Isiah,1166,536,130,M
Junius,1167,537,130,M
Cyrus,1174,538,129,M
Evan,1177,539,127,M
Micheal,1178,540,127,M
Daryl,1184,541,126,M
Olin,1185,542,126,M
Isaiah,1189,543,125,M
Justin,1190,544,125,M
Jerald,1196,545,124,M
Otha,1197,546,124,M
Talmadge,1198,547,124,M
Kelly,1200,548,123,M
Kent,1201,549,123,M
Mckinley,1202,550,123,M
Ora,1203,551,123,M
Carrol,1206,552,122,M
Davis,1207,553,122,M
Domingo,1208,554,122,M
Jules,1209,555,122,M
Lemuel,1210,556,122,M
Mason,1211,557,122,M
Napoleon,1212,558,122,M
Beverly,1218,559,121,M
Dewitt,1219,560,121,M
Marcel,1220,561,121,M
Shelby,1223,562,120,M
Aloysius,1228,563,119,M
Dorothy,1229,564,119,M
Hilton,1230,565,119,M
Palmer,1231,566,119,M
Bennett,1235,567,118,M
Hyman,1236,568,118,M
Lucius,1237,569,118,M
Rollin,1238,570,118,M
Theron,1239,571,118,M
Hobert,1251,572,116,M
Benedict,1254,573,115,M
Eldridge,1255,574,115,M
Gilberto,1256,575,115,M
Jeremiah,1257,576,115,M
Merton,1258,577,115,M
Valentine,1259,578,115,M
Vaughn,1260,579,115,M
Aldo,1265,580,114,M
Alphonso,1266,581,114,M
Casimir,1267,582,114,M
Dana,1268,583,114,M
Frances,1269,584,114,M
Albin,1274,585,113,M
Carson,1275,586,113,M
Christian,1276,587,113,M
Domenic,1277,588,113,M
Elden,1278,589,113,M
Jennings,1279,590,113,M
Judson,1280,591,113,M
King,1281,592,113,M
Rogers,1282,593,113,M
Sydney,1283,594,113,M
Oren,1284,595,112,M
Rubin,1285,596,112,M
Arther,1289,597,111,M
Fay,1290,598,111,M
Harland,1291,599,111,M
Zane,1292,600,111,M
Ernie,1295,601,110,M
Rosario,1296,602,110,M
Clarance,1297,603,109,M
Sherwood,1298,604,109,M
Doris,1306,605,107,M
Guillermo,1307,606,107,M
Milan,1308,607,107,M
Granville,1315,608,106,M
Jonathan,1316,609,106,M
Lacy,1317,610,106,M
Walton,1318,611,106,M
Bernie,1324,612,105,M
Joshua,1325,613,105,M
Asa,1332,614,104,M
Gary,1333,615,104,M
Mose,1334,616,104,M
Quentin,1335,617,104,M
Theo,1336,618,104,M
Galen,1339,619,103,M
Warner,1340,620,103,M
Haywood,1342,621,102,M
Abel,1346,622,101,M
Graham,1347,623,101,M
Isadore,1348,624,101,M
Jason,1349,625,101,M
Raleigh,1350,626,101,M
Arden,1355,627,100,M
Edd,1356,628,100,M
Florian,1357,629,100,M
Stanford,1358,630,100,M
Avery,1363,631,99,M
Boyce,1364,632,99,M
Dee,1365,633,99,M
Ricardo,1366,634,99,M
Rupert,1367,635,99,M
Winford,1368,636,99,M
Bradford,1371,637,98,M
Lupe,1372,638,98,M
Bernice,1377,639,97,M
Dock,1378,640,97,M
Jonas,1379,641,97,M
Connie,1382,642,96,M
Dexter,1383,643,96,M
Hans,1384,644,96,M
Santo,1385,645,96,M
Santos,1386,646,96,M
Taylor,1387,647,96,M
Domenick,1389,648,95,M
Gustave,1390,649,95,M
Romeo,1391,650,95,M
Felton,1394,651,94,M
Israel,1395,652,94,M
Merritt,1396,653,94,M
Donn,1401,654,93,M
Eldred,1402,655,93,M
Loy,1403,656,93,M
Ottis,1404,657,93,M
Alvie,1414,658,92,M
Gregorio,1415,659,92,M
Betty,1422,660,91,M
Margaret,1423,661,91,M
Walker,1424,662,91,M
Adolfo,1429,663,90,M
Bryant,1430,664,90,M
Elliot,1431,665,90,M
Elzie,1432,666,90,M
Emmitt,1433,667,90,M
Hermon,1434,668,90,M
Hobart,1435,669,90,M
Jordan,1436,670,90,M
Carter,1439,671,89,M
Elvis,1440,672,89,M
Enoch,1441,673,89,M
Murphy,1442,674,89,M
Rodger,1443,675,89,M
Angus,1449,676,88,M
Evert,1450,677,88,M
Alvis,1454,678,87,M
Benton,1455,679,87,M
Jewell,1456,680,87,M
Maxwell,1457,681,87,M
Merlyn,1458,682,87,M
Alford,1465,683,86,M
Blair,1466,684,86,M
Garfield,1467,685,86,M
Glendon,1468,686,86,M
Oran,1469,687,86,M
Santiago,1470,688,86,M
Kyle,1478,689,85,M
Meyer,1479,690,85,M
Verlin,1480,691,85,M
Cruz,1487,692,84,M
Haskell,1488,693,84,M
Aron,1493,694,83,M
Clare,1494,695,83,M
Garrett,1495,696,83,M
Rayford,1496,697,83,M
Werner,1497,698,83,M
Antone,1502,699,82,M
Denis,1503,700,82,M
Elmore,1504,701,82,M
Elwyn,1505,702,82,M
Franklyn,1506,703,82,M
Hillard,1507,704,82,M
Leeroy,1508,705,82,M
Orin,1509,706,82,M
Seth,1510,707,82,M
Winfield,1511,708,82,M
Bradley,1522,709,81,M
Dwayne,1523,710,81,M
Raphael,1524,711,81,M
Andres,1535,712,80,M
Craig,1536,713,80,M
Mahlon,1537,714,80,M
Monte,1538,715,80,M
Carey,1544,716,79,M
Clem,1545,717,79,M
Constantine,1546,718,79,M
Lawerence,1547,719,79,M
Vicente,1548,720,79,M
Willian,1549,721,79,M
Barry,1557,722,78,M
Carlyle,1558,723,78,M
Lucian,1559,724,78,M
Tracy,1560,725,78,M
Gustav,1568,726,77,M
Kay,1569,727,77,M
Kirby,1570,728,77,M
Theadore,1571,729,77,M
Verl,1572,730,77,M
Carleton,1584,731,76,M
Claudie,1585,732,76,M
Early,1586,733,76,M
Lucious,1587,734,76,M
Porter,1588,735,76,M
Stanton,1589,736,76,M
Bonnie,1598,737,75,M
Buck,1599,738,75,M
Cloyd,1600,739,75,M
Eduardo,1601,740,75,M
Garth,1602,741,75,M
Hayward,1603,742,75,M
Matt,1604,743,75,M
Newell,1605,744,75,M
Guido,1610,745,74,M
Helen,1611,746,74,M
Loyal,1612,747,74,M
Sandy,1613,748,74,M
Dorsey,1621,749,73,M
Estel,1622,750,73,M
Hardy,1623,751,73,M
Howell,1624,752,73,M
Leander,1625,753,73,M
Lon,1626,754,73,M
Melton,1627,755,73,M
Murry,1628,756,73,M
Prince,1629,757,73,M
Ruth,1630,758,73,M
Duncan,1637,759,72,M
Elisha,1638,760,72,M
Garnett,1639,761,72,M
Gino,1640,762,72,M
Otho,1641,763,72,M
Shelton,1642,764,72,M
Allison,1652,765,71,M
Arvil,1653,766,71,M
Aurelio,1654,767,71,M
Benito,1655,768,71,M
Bryce,1656,769,71,M
Burt,1657,770,71,M
Damon,1658,771,71,M
Ford,1659,772,71,M
Omar,1660,773,71,M
Pearl,1661,774,71,M
Sylvan,1662,775,71,M
Audrey,1668,776,70,M
Emmet,1669,777,70,M
Evans,1670,778,70,M
Lambert,1671,779,70,M
Lawson,1672,780,70,M
Merl,1673,781,70,M
Oswald,1674,782,70,M
Armond,1685,783,69,M
Cameron,1686,784,69,M
Chauncey,1687,785,69,M
Dayton,1688,786,69,M
Dewayne,1689,787,69,M
June,1690,788,69,M
Laurel,1691,789,69,M
Reynaldo,1692,790,69,M
Waymon,1693,791,69,M
Wm,1694,792,69,M
Auther,1703,793,68,M
Dillard,1704,794,68,M
Fritz,1705,795,68,M
Gayle,1706,796,68,M
Ignatius,1707,797,68,M
Norval,1708,798,68,M
Reynold,1709,799,68,M
Rowland,1710,800,68,M
Webster,1711,801,68,M
Williams,1712,802,68,M
Alejandro,1723,803,67,M
Bertrand,1724,804,67,M
Brady,1725,805,67,M
Freddy,1726,806,67,M
